employee_id,age,gender,department,job_level,tenure,manager_id,salary,salary_position_pct,performance_score,manager_score,absenteeism_days,training_hours,promotion_last_2y,internal_mobility,workload_index,team_size,remote_ratio,low_performance_risk
22,43,Male,IT,Senior,6.4,85,29996,0.23,1,5.0,5,30.0,0,0,39,11,0.29,1
23,46,Male,Finance,Lead,11.0,54,69594,0.75,2,3.0,4,20.0,0,0,94,4,0.54,1
24,48,Male,HR,Lead,0.4,21,47164,0.47,3,1.0,2,2.0,0,0,78,13,0.28,1
25,49,Female,Data,Lead,6.6,72,60595,0.42,4,4.0,4,,0,1,87,7,0.22,0
26,37,Female,HR,Junior,1.0,16,55257,0.43,2,4.0,2,34.0,0,0,31,11,0.53,1
27,36,Female,Data,Lead,9.8,59,39211,0.47,1,2.0,3,40.0,1,0,95,9,0.17,1
28,24,Female,Data,Lead,8.5,31,55453,0.43,2,2.0,9,58.0,0,0,60,11,0.8,1
29,58,Male,IT,Senior,3.9,42,30232,0.47,5,3.0,5,15.0,0,0,97,13,0.48,0
30,28,Male,HR,Lead,6.2,74,27217,0.67,1,4.0,2,55.0,1,0,66,8,0.57,1
31,42,Female,HR,Junior,1.9,32,77691,0.31,4,1.0,6,44.0,0,0,53,9,0.15,1
32,30,Female,Finance,Junior,3.2,59,49229,0.47,1,1.0,6,58.0,0,0,73,12,0.32,1
33,39,Female,Finance,Senior,8.6,34,39232,0.63,4,1.0,6,49.0,1,0,70,7,0.41,1
34,25,Male,IT,Lead,3.1,9,50613,0.88,4,3.0,4,11.0,0,1,80,8,0.81,0
35,46,Female,IT,Lead,2.2,81,39026,0.23,3,3.0,8,11.0,1,0,71,3,0.77,1
36,35,Female,Marketing,Junior,3.4,11,78535,0.5,3,5.0,5,32.0,0,0,69,3,0.22,0
37,30,Female,Finance,Lead,8.8,96,53554,0.7,2,1.0,8,48.0,0,0,77,4,0.62,1
38,47,Male,Data,Lead,2.0,10,55908,0.5,2,1.0,9,20.0,1,0,33,13,0.24,1
39,23,Male,HR,Lead,1.0,86,77113,0.77,4,3.0,5,59.0,0,0,89,6,0.99,0
40,41,Male,IT,Mid,6.2,17,44610,0.48,1,3.0,6,51.0,1,0,68,13,0.95,1
41,49,Male,HR,Senior,8.7,68,71646,0.72,5,5.0,6,53.0,0,1,34,11,0.56,0
42,28,Male,HR,Mid,0.5,48,64605,0.76,5,5.0,6,38.0,0,1,35,9,0.7,0
43,29,Male,Marketing,Senior,1.4,52,88185,0.28,1,2.0,6,48.0,1,0,43,8,0.8,1
44,56,Male,Finance,Junior,0.8,25,32031,0.99,1,4.0,2,63.0,0,0,99,3,0.72,1
45,35,Male,IT,Lead,2.1,21,72574,0.81,3,1.0,2,25.0,0,0,41,7,0.7,1
46,38,Female,HR,Senior,3.0,65,83442,0.64,5,1.0,6,70.0,0,0,91,13,0.96,1
47,57,Female,IT,Mid,6.9,63,84668,0.79,4,5.0,8,6.0,0,0,56,14,0.6,0
48,25,Male,Data,Lead,5.3,89,50515,0.44,2,5.0,6,71.0,1,0,83,6,0.64,1
49,23,Male,Marketing,Junior,4.9,51,61484,0.14,3,,8,61.0,1,0,41,7,0.85,1
50,27,Female,Data,Senior,2.2,36,61182,0.8,5,4.0,5,23.0,0,0,37,13,0.67,0
51,25,Male,IT,Senior,9.2,81,75600,0.22,1,2.0,6,39.0,0,0,45,11,0.73,1
52,50,Male,IT,Senior,3.2,88,25570,0.63,5,4.0,8,75.0,0,0,81,14,0.23,0
53,39,Male,Finance,Lead,19.3,66,57254,0.15,4,1.0,2,,0,0,55,5,0.37,1
54,47,Female,HR,Mid,5.0,15,44288,0.7,3,2.0,8,7.0,1,1,37,6,0.15,1
55,55,Female,HR,Mid,0.7,96,38288,0.81,1,5.0,2,53.0,0,0,74,10,0.51,1
56,31,Female,Data,Senior,5.6,39,54877,0.58,4,2.0,8,8.0,0,1,48,5,0.46,1
57,57,Female,Marketing,Junior,2.0,70,43889,0.75,2,2.0,3,2.0,1,0,46,5,1.0,1
58,35,Female,HR,Junior,5.8,1,25917,0.82,3,1.0,9,53.0,0,1,94,11,0.61,1
59,52,Male,Finance,Mid,0.4,23,35066,0.36,4,5.0,7,20.0,0,0,58,7,0.79,0
60,36,Female,Data,Junior,1.0,39,54504,0.95,4,5.0,7,47.0,0,1,43,12,0.33,0
61,29,Male,Data,Mid,9.7,57,89575,0.51,1,3.0,4,46.0,1,0,46,3,0.83,1
62,35,Male,Finance,Senior,1.3,81,31982,0.1,2,3.0,8,67.0,0,0,42,9,0.62,1
63,44,Female,Marketing,Mid,9.1,34,81579,0.13,4,3.0,3,62.0,0,0,92,9,0.7,1
64,42,Female,Finance,Mid,1.6,41,64104,0.36,3,1.0,5,15.0,1,0,62,8,0.29,1
65,37,Male,Marketing,Senior,5.1,93,43062,0.56,4,2.0,3,,1,0,58,8,0.55,1
66,39,Male,Finance,Junior,5.9,73,41999,0.77,5,5.0,4,4.0,1,0,66,5,0.63,0
67,45,Male,Finance,Mid,3.6,13,86845,0.85,3,5.0,2,10.0,0,0,75,5,0.59,0
68,47,Female,IT,Mid,1.8,70,34941,0.51,3,2.0,2,28.0,0,0,53,12,0.92,1
69,46,Female,Data,Senior,1.2,6,86169,0.75,4,5.0,5,78.0,0,0,43,13,0.9,0
70,50,Female,Finance,Junior,0.2,84,48470,0.23,1,2.0,9,69.0,0,0,34,11,0.97,1
71,36,Female,Finance,Mid,1.8,52,89208,0.58,3,1.0,6,47.0,0,0,82,3,0.67,1
72,22,Female,HR,Senior,5.3,3,70148,0.68,5,,5,14.0,0,1,59,9,0.97,1
73,46,Male,Data,Mid,13.9,81,84821,0.21,1,1.0,1,33.0,0,1,89,14,0.83,1
74,28,Female,HR,Lead,10.2,63,46133,0.69,1,,6,59.0,0,1,57,13,0.27,1
75,30,Male,Data,Senior,7.3,49,77657,0.27,1,2.0,6,61.0,1,1,55,12,0.43,1
76,45,Male,HR,Junior,7.8,76,69435,0.48,3,4.0,3,1.0,0,0,47,9,0.24,0
77,22,Male,Finance,Junior,5.5,47,29529,0.09,1,5.0,4,79.0,0,1,65,10,0.0,1
78,29,Female,Finance,Junior,1.5,55,42519,0.37,4,5.0,4,18.0,0,0,37,8,0.19,0
79,45,Female,IT,Junior,11.9,64,37192,0.45,1,4.0,4,48.0,0,0,47,10,0.0,1
80,32,Female,HR,Mid,5.6,65,33566,0.48,5,4.0,5,77.0,0,1,87,3,0.72,0
81,38,Male,Marketing,Mid,4.1,81,32226,0.37,2,1.0,7,27.0,0,0,61,3,0.43,1
82,29,Male,IT,Junior,0.6,67,62930,0.85,5,4.0,7,47.0,1,0,78,11,0.31,0
83,56,Male,HR,Junior,3.0,90,74358,0.36,3,2.0,5,36.0,1,0,77,14,0.76,1
84,56,Male,HR,Junior,3.1,15,46259,0.36,1,3.0,13,73.0,0,0,94,6,0.83,1
85,54,Male,IT,Mid,10.0,32,59087,0.64,1,2.0,8,48.0,1,0,62,5,0.98,1
86,26,Male,Finance,Junior,4.0,96,26141,0.61,4,4.0,2,47.0,0,0,79,8,0.64,0
87,49,Female,HR,Junior,2.4,68,29627,0.36,1,5.0,3,72.0,1,0,33,12,0.46,1
88,28,Female,Finance,Lead,18.8,18,81541,0.37,5,2.0,5,28.0,0,0,65,14,0.31,1
89,30,Female,IT,Lead,0.6,83,72269,0.61,3,5.0,9,59.0,0,0,57,14,0.22,0
90,29,Female,Finance,Junior,2.7,43,27690,0.53,2,2.0,7,28.0,1,0,32,11,0.21,1
91,33,Male,Data,Senior,0.2,35,65091,0.43,1,5.0,6,57.0,0,1,35,12,0.41,1
92,55,Male,Marketing,Junior,6.7,78,28255,0.97,2,2.0,7,47.0,0,0,74,13,0.99,1
93,54,Female,HR,Lead,12.5,58,82433,0.34,1,5.0,5,22.0,1,1,52,6,0.0,1
94,44,Male,Marketing,Senior,1.6,33,30213,0.58,3,3.0,6,26.0,1,0,36,11,0.2,0
95,45,Female,Finance,Senior,9.8,14,61876,0.2,5,1.0,4,6.0,0,0,90,7,0.19,1
96,58,Female,HR,Junior,1.7,34,44404,0.79,3,2.0,3,48.0,0,0,94,9,0.72,1
97,56,Female,Finance,Lead,12.1,61,76009,0.4,2,3.0,7,53.0,1,0,35,5,0.35,1
98,43,Male,Data,Lead,7.0,4,50380,0.15,1,1.0,6,67.0,1,0,53,5,0.46,1
99,48,Female,IT,Senior,8.2,88,50520,0.51,2,2.0,4,,0,0,66,14,0.15,1
100,56,Female,HR,Junior,0.1,59,44173,0.71,5,3.0,5,41.0,1,0,74,5,0.4,0
101,22,Female,Data,Mid,16.5,29,88297,0.05,3,3.0,5,73.0,1,0,80,10,0.1,1
102,56,Male,Data,Mid,6.5,83,78027,0.58,2,3.0,3,,0,0,74,8,0.53,1
103,58,Male,HR,Lead,1.8,6,48989,0.18,2,4.0,2,43.0,1,1,92,11,0.1,1
104,35,Female,Finance,Mid,8.8,97,67570,0.13,5,5.0,1,25.0,0,0,58,11,0.79,1
105,24,Male,Data,Lead,1.7,49,49519,0.34,1,1.0,3,22.0,0,0,54,10,0.57,1
106,22,Male,Marketing,Lead,10.3,40,85267,0.22,2,5.0,2,72.0,0,0,39,3,0.72,1
107,26,Male,Data,Lead,0.6,83,47439,0.5,5,5.0,6,7.0,0,0,64,8,0.42,0
108,47,Male,Finance,Mid,6.1,65,78034,0.35,1,5.0,4,52.0,1,1,84,6,0.38,1
109,35,Male,Finance,Lead,3.9,69,36413,0.95,1,3.0,4,13.0,0,1,54,6,0.1,1
110,48,Male,Marketing,Senior,0.5,27,39995,0.2,3,5.0,7,70.0,1,0,74,5,0.52,1
111,30,Male,Data,Junior,1.4,80,48559,0.61,5,4.0,4,6.0,1,0,41,14,0.51,0
112,36,Male,Finance,Junior,0.1,6,87492,0.64,1,2.0,3,8.0,1,0,33,11,0.47,1
113,36,Male,HR,Lead,3.2,13,70351,0.42,3,3.0,4,2.0,0,0,96,4,0.74,0
114,47,Male,IT,Junior,1.8,64,48513,0.34,4,1.0,4,77.0,0,0,46,3,0.83,1
115,34,Female,IT,Mid,4.6,62,30021,0.7,5,2.0,5,16.0,0,1,94,12,0.75,1
116,53,Female,IT,Mid,1.8,99,57464,0.23,4,2.0,6,43.0,1,1,82,5,0.14,1
117,53,Male,Data,Junior,1.8,19,46119,0.46,1,2.0,3,45.0,0,0,86,6,0.62,1
118,25,Female,Marketing,Mid,6.8,76,76539,0.01,5,5.0,4,57.0,1,0,57,6,0.08,1
119,51,Female,Finance,Junior,0.2,80,54299,0.48,3,5.0,3,27.0,1,1,45,8,0.69,0
120,58,Male,HR,Junior,11.7,43,64350,0.6,1,3.0,2,13.0,1,0,50,3,0.38,1
121,44,Male,HR,Junior,9.6,74,71223,0.86,5,5.0,0,8.0,0,0,71,3,0.13,0
122,36,Male,Data,Lead,5.5,89,50517,0.8,5,5.0,5,25.0,0,0,83,4,0.86,0
123,50,Female,IT,Junior,4.5,20,38117,0.42,4,5.0,4,1.0,1,0,61,6,0.61,0
124,57,Female,Data,Lead,11.1,95,47250,0.42,1,3.0,7,74.0,0,0,67,9,0.35,1
125,34,Male,Marketing,Junior,1.0,68,43950,0.23,3,3.0,1,33.0,1,0,99,8,0.03,1
126,53,Male,Marketing,Junior,0.4,44,42359,0.83,3,4.0,3,18.0,0,0,67,13,0.54,0
127,28,Male,Finance,Junior,1.4,23,48596,0.23,1,4.0,5,38.0,1,0,83,11,0.92,1
128,43,Female,Finance,Mid,7.9,2,50530,0.27,1,4.0,5,12.0,1,0,89,9,0.6,1
129,49,Female,Marketing,Lead,0.2,22,26262,0.23,2,4.0,7,4.0,0,0,76,14,0.97,1
130,23,Female,Marketing,Lead,4.4,57,79199,0.46,4,2.0,2,49.0,0,0,41,7,0.14,1
131,27,Female,Marketing,Junior,26.9,72,83287,0.81,1,2.0,4,22.0,1,0,82,8,0.57,1
132,49,Male,Data,Junior,9.7,7,84546,0.15,1,4.0,4,28.0,0,0,62,12,0.8,1
133,49,Male,Marketing,Mid,3.7,78,87644,0.34,2,4.0,4,71.0,0,0,57,11,0.53,1
134,41,Male,HR,Mid,0.3,56,65150,0.34,2,1.0,6,25.0,0,0,32,3,0.09,1
135,51,Male,IT,Mid,8.9,67,47615,0.31,5,2.0,8,78.0,0,1,55,13,0.58,1
136,32,Female,Marketing,Lead,4.6,16,28327,0.37,3,1.0,6,56.0,0,0,83,11,0.61,1
137,49,Female,IT,Lead,0.6,83,79782,0.84,4,1.0,5,0.0,1,0,69,8,0.73,1
138,46,Male,Data,Lead,0.5,51,54768,0.28,5,5.0,3,27.0,0,0,95,14,0.76,1
139,54,Male,IT,Junior,12.0,82,89418,0.15,1,,2,61.0,0,0,97,6,0.77,1
140,22,Female,Data,Lead,5.5,80,53850,0.8,2,2.0,7,46.0,1,0,76,14,0.66,1
141,48,Male,HR,Senior,8.8,72,76411,0.65,3,4.0,3,77.0,0,0,31,7,0.22,0
142,34,Female,Data,Senior,10.6,97,67788,0.6,5,4.0,6,58.0,0,1,71,3,0.4,0
143,24,Male,Data,Mid,4.2,12,75409,0.48,3,3.0,2,30.0,1,0,63,9,0.78,0
144,27,Male,Finance,Lead,3.6,53,41848,0.75,2,,7,69.0,1,1,50,10,0.95,1
145,29,Male,Marketing,Senior,2.8,75,71830,0.15,5,4.0,4,48.0,0,0,73,13,0.08,1
146,48,Male,Marketing,Mid,1.9,5,77446,0.13,5,4.0,9,4.0,1,0,31,7,0.54,1
147,30,Male,HR,Lead,2.9,27,64542,0.09,3,5.0,9,30.0,1,1,88,4,0.31,1
148,58,Male,HR,Junior,7.4,12,40160,0.11,2,1.0,3,36.0,0,0,45,10,0.23,1
149,54,Male,Marketing,Senior,4.6,17,81583,0.5,1,4.0,10,78.0,0,1,49,12,0.51,1
150,45,Female,Finance,Junior,11.2,6,58998,0.93,5,2.0,8,14.0,1,1,55,9,0.61,1
151,36,Female,Marketing,Lead,2.9,97,52230,0.35,1,3.0,3,51.0,0,1,45,12,0.01,1
152,53,Female,Finance,Senior,4.7,5,34076,0.35,2,5.0,6,68.0,0,0,99,11,0.78,1
153,53,Female,HR,Lead,5.0,57,28805,0.07,5,2.0,5,10.0,1,0,52,6,0.82,1
154,45,Female,IT,Junior,4.5,28,56085,0.47,5,5.0,4,,0,1,71,13,0.97,0
155,33,Male,HR,Senior,6.1,78,80571,0.46,1,1.0,1,69.0,0,0,66,11,0.18,1
156,23,Male,HR,Junior,1.4,69,39715,0.23,4,4.0,3,22.0,0,0,35,6,0.59,1
157,24,Female,Data,Lead,3.6,59,87772,0.45,1,2.0,5,39.0,0,0,66,5,0.43,1
158,58,Male,Data,Lead,0.6,33,30750,0.73,1,3.0,5,62.0,0,0,51,13,0.33,1
159,38,Female,Data,Junior,2.4,62,73395,0.62,4,1.0,7,1.0,0,0,35,5,0.57,1
160,23,Female,Data,Senior,3.3,50,38232,0.61,2,1.0,2,,0,0,61,12,0.78,1
161,23,Male,Finance,Junior,5.3,19,78008,0.7,2,5.0,4,72.0,0,0,46,4,0.02,1
162,49,Male,Marketing,Lead,15.0,86,60903,0.45,5,1.0,4,46.0,1,0,67,12,0.97,1
163,44,Male,IT,Junior,4.6,69,31953,0.9,3,2.0,4,29.0,1,0,46,5,0.81,1
164,58,Female,HR,Lead,6.8,66,57093,0.52,3,5.0,8,,0,1,66,10,0.75,0
165,53,Male,Finance,Junior,3.5,94,50500,0.63,5,1.0,9,58.0,1,0,52,13,0.76,1
166,54,Female,IT,Senior,5.0,47,47418,0.22,3,3.0,6,46.0,1,0,78,10,0.39,1
167,22,Female,Finance,Senior,0.4,39,78741,0.48,1,2.0,3,29.0,1,0,90,4,0.75,1
168,40,Female,Finance,Junior,1.5,68,59314,0.37,1,3.0,5,8.0,0,0,78,13,0.39,1
169,23,Male,HR,Junior,2.2,33,73225,0.37,4,3.0,5,64.0,0,0,90,4,0.9,0
170,47,Male,Marketing,Senior,3.2,13,47449,0.65,4,5.0,4,58.0,1,1,61,4,0.18,0
171,53,Female,Data,Lead,0.2,84,42478,0.64,5,4.0,3,63.0,0,1,92,12,0.29,0
172,27,Male,Marketing,Senior,0.8,54,60179,0.28,5,5.0,2,,0,1,36,9,0.55,1
173,53,Male,HR,Lead,1.6,7,76769,0.55,5,2.0,3,51.0,0,0,51,8,0.32,1
174,25,Male,HR,Junior,17.8,79,71881,0.61,1,2.0,3,17.0,1,0,35,14,0.42,1
175,32,Female,HR,Junior,2.0,87,50338,0.3,3,5.0,6,57.0,0,0,90,13,0.49,0
176,38,Female,IT,Lead,3.3,14,51899,0.62,5,4.0,6,48.0,0,0,43,3,0.86,0
177,59,Male,Marketing,Junior,1.1,87,29145,0.92,5,5.0,2,31.0,0,0,45,4,0.52,0
178,45,Female,Marketing,Lead,4.7,19,57101,0.65,1,2.0,2,47.0,1,0,32,3,0.36,1
179,26,Male,Finance,Mid,1.6,54,27775,0.76,1,4.0,3,44.0,0,0,38,14,0.25,1
180,55,Male,Finance,Senior,1.2,93,70961,0.52,1,2.0,10,53.0,0,0,76,13,0.41,1
181,27,Male,Finance,Mid,3.6,20,56647,0.33,3,4.0,1,45.0,0,0,71,9,0.52,0
182,43,Male,HR,Lead,0.0,29,70619,0.3,5,4.0,4,30.0,0,0,71,8,0.75,0
183,32,Female,Marketing,Senior,0.0,24,70838,0.79,2,5.0,3,36.0,0,1,52,4,0.12,1
184,37,Female,HR,Lead,1.2,82,80780,0.66,2,5.0,8,15.0,0,0,32,4,0.22,1
185,54,Female,IT,Senior,0.2,63,44539,0.3,5,5.0,1,45.0,0,0,30,4,0.38,0
186,30,Male,Finance,Senior,0.6,74,61738,0.28,5,4.0,8,45.0,0,0,96,10,0.36,1
187,27,Male,HR,Senior,2.1,57,82124,0.61,5,4.0,8,77.0,1,1,32,9,0.39,0
188,37,Male,HR,Senior,8.1,8,51616,0.54,5,2.0,5,60.0,0,0,78,3,0.79,1
189,50,Female,IT,Lead,4.2,90,39119,0.69,3,3.0,9,45.0,0,1,96,6,0.32,0
190,24,Male,Data,Senior,3.6,62,50159,0.76,2,5.0,5,50.0,0,0,84,13,0.5,1
191,41,Female,Marketing,Senior,1.7,29,79567,0.74,4,2.0,10,61.0,0,1,33,6,0.62,1
192,57,Female,Data,Mid,13.4,74,62099,0.49,2,2.0,9,34.0,0,0,60,9,0.23,1
193,40,Female,Finance,Junior,2.5,17,35295,0.81,2,1.0,4,41.0,0,0,95,4,0.72,1
194,47,Female,HR,Junior,0.5,66,59710,0.57,1,5.0,5,44.0,1,0,93,6,0.55,1
195,24,Female,IT,Mid,4.8,6,86799,0.52,5,2.0,7,67.0,0,0,60,3,0.45,1
196,40,Female,IT,Mid,0.6,58,80178,0.2,5,1.0,8,74.0,0,1,92,13,0.81,1
197,41,Male,Marketing,Lead,2.1,69,49685,0.79,5,5.0,4,46.0,0,0,95,13,0.24,0
198,53,Male,Data,Lead,3.5,28,74343,0.48,1,4.0,2,78.0,0,0,60,6,0.88,1
199,28,Female,Marketing,Lead,10.4,62,50479,0.38,3,1.0,8,29.0,0,1,76,13,0.56,1
200,54,Female,HR,Mid,3.4,41,71172,0.11,3,4.0,7,23.0,0,0,51,3,0.61,1
201,39,Male,Marketing,Mid,6.1,69,58629,0.72,4,3.0,5,,0,1,75,4,0.88,0
202,22,Female,IT,Senior,24.7,82,80863,0.28,3,3.0,9,42.0,0,0,87,4,0.82,1
203,32,Female,IT,Lead,0.7,90,67043,0.2,3,3.0,8,33.0,0,1,90,14,0.6,1
204,49,Male,Finance,Lead,1.6,84,42033,0.66,5,3.0,6,22.0,0,0,75,12,0.75,0
205,46,Female,Finance,Lead,2.5,41,61902,0.47,2,2.0,6,60.0,0,0,30,14,0.43,1
206,44,Female,HR,Junior,2.7,49,69571,0.18,3,3.0,5,36.0,0,0,54,5,0.55,1
207,52,Female,Data,Senior,2.6,91,40408,0.77,3,2.0,4,12.0,0,0,90,10,0.06,1
208,51,Male,Marketing,Lead,11.9,49,81739,0.1,1,2.0,9,70.0,0,0,43,13,0.09,1
209,56,Male,HR,Lead,6.3,76,82980,0.79,4,5.0,2,6.0,0,0,74,8,0.83,0
210,28,Male,Finance,Lead,4.7,71,42420,0.55,1,2.0,8,41.0,0,1,68,8,0.06,1
211,37,Female,Marketing,Junior,1.9,3,41351,0.48,5,2.0,5,37.0,0,1,95,11,0.17,1
212,47,Female,Finance,Junior,8.7,10,29131,0.21,2,3.0,4,51.0,0,1,61,10,0.8,1
213,23,Male,Marketing,Mid,15.5,98,76300,0.75,4,2.0,5,43.0,0,1,87,4,0.0,1
214,22,Female,Data,Senior,8.6,89,69825,0.88,1,4.0,3,63.0,0,1,85,8,0.28,1
215,33,Female,HR,Mid,0.0,35,36349,0.27,3,3.0,8,12.0,0,1,35,3,0.58,1
216,26,Female,Marketing,Senior,5.1,80,85931,0.53,3,1.0,7,27.0,1,1,96,11,0.6,1
217,58,Female,IT,Junior,0.3,2,69254,0.56,4,3.0,4,0.0,1,0,79,6,0.78,0
218,53,Female,IT,Lead,1.5,24,63225,0.7,3,2.0,2,42.0,0,1,67,6,0.51,1
219,30,Male,Marketing,Mid,0.3,74,63847,0.1,1,4.0,3,41.0,1,1,32,11,0.51,1
220,56,Female,Marketing,Lead,4.6,38,37453,0.71,1,3.0,2,49.0,0,0,34,5,0.73,1
221,40,Male,Marketing,Mid,5.8,22,43814,0.36,3,4.0,7,59.0,0,0,53,7,0.5,0
222,37,Female,IT,Junior,0.6,26,43263,0.52,3,1.0,5,0.0,1,0,83,3,0.61,1
223,24,Male,IT,Junior,2.4,43,37158,0.58,5,1.0,6,50.0,1,1,63,8,0.9,1
224,41,Female,Marketing,Junior,3.0,55,40735,0.46,2,,2,15.0,1,1,68,5,0.4,1
225,45,Male,Finance,Mid,2.3,39,40830,0.78,4,5.0,6,38.0,0,0,77,3,0.39,0
226,54,Female,Finance,Senior,0.6,91,72893,0.55,1,3.0,3,14.0,0,0,78,12,0.0,1
227,45,Male,Data,Mid,2.7,29,69673,0.1,4,5.0,3,32.0,0,0,63,8,0.61,1
228,32,Female,HR,Senior,7.0,20,86470,0.65,5,,3,52.0,0,0,36,14,0.03,0
229,29,Male,Finance,Mid,0.4,91,48926,0.91,1,5.0,6,16.0,0,0,47,12,0.5,1
230,57,Female,IT,Mid,0.4,41,70066,0.6,5,4.0,5,5.0,1,0,99,4,0.8,0
231,59,Male,Finance,Junior,2.2,54,59779,0.8,5,5.0,8,30.0,0,1,63,10,0.55,0
232,41,Male,Data,Lead,14.2,20,28373,0.65,3,5.0,4,68.0,0,0,80,13,0.27,0
233,56,Female,Data,Lead,5.5,19,35335,0.8,4,5.0,5,39.0,0,0,97,14,0.79,0
234,46,Female,HR,Senior,5.7,84,48741,0.67,4,2.0,5,29.0,0,1,43,4,0.27,1
235,56,Male,Finance,Lead,2.2,99,35692,0.49,3,2.0,7,68.0,0,0,98,6,0.73,1
236,46,Female,IT,Mid,4.5,66,72295,0.18,4,,6,,1,0,37,5,0.61,1
237,50,Male,IT,Mid,0.1,30,70541,0.56,3,4.0,1,6.0,0,0,44,11,0.17,0
238,39,Male,Marketing,Junior,5.1,53,59057,0.7,1,3.0,2,12.0,0,0,88,4,0.91,1
239,39,Male,IT,Junior,12.2,34,26447,0.1,5,1.0,7,3.0,1,1,40,5,0.2,1
240,23,Female,HR,Lead,4.7,22,44583,0.88,5,2.0,9,49.0,1,1,49,9,0.99,1
241,56,Male,HR,Senior,10.3,67,47765,0.73,4,5.0,10,2.0,1,0,84,6,0.01,0
242,37,Male,IT,Lead,6.4,6,84287,0.54,2,1.0,7,11.0,1,0,65,8,0.26,1
243,57,Female,IT,Lead,0.6,79,48906,0.04,5,2.0,7,64.0,0,0,43,5,0.2,1
244,54,Female,Marketing,Lead,11.6,27,80211,0.53,3,3.0,2,26.0,1,0,87,3,0.01,0
245,25,Female,IT,Lead,0.3,10,44567,0.81,2,4.0,5,49.0,0,1,67,13,0.73,1
246,54,Female,Marketing,Mid,3.8,73,39139,0.41,2,5.0,5,76.0,1,0,30,8,0.69,1
247,35,Male,Marketing,Senior,0.8,97,71525,0.41,5,3.0,7,16.0,0,0,94,6,0.79,0
248,42,Male,IT,Mid,0.1,96,63230,0.77,5,2.0,5,71.0,0,1,30,4,0.26,1
249,41,Male,Data,Senior,2.7,48,77368,0.71,5,5.0,6,31.0,0,1,89,9,0.44,0
250,29,Male,Data,Junior,1.7,70,44520,0.06,3,1.0,4,50.0,0,0,54,12,0.66,1
251,28,Female,Marketing,Lead,3.3,59,44702,0.41,2,4.0,11,16.0,0,1,39,14,0.44,1
252,24,Male,IT,Mid,4.3,59,76934,0.4,4,2.0,5,33.0,0,0,79,7,0.7,1
253,38,Male,Data,Senior,0.2,2,50566,0.36,3,4.0,6,34.0,1,0,41,8,0.63,0
254,54,Female,IT,Junior,0.7,29,32657,0.75,1,5.0,3,23.0,0,0,61,8,0.11,1
255,33,Male,IT,Junior,4.1,68,62688,0.28,5,3.0,1,53.0,0,0,62,11,0.78,1
256,43,Male,IT,Lead,2.1,65,55134,0.71,2,4.0,5,17.0,1,0,55,14,0.72,1
257,43,Male,Finance,Senior,6.5,83,35345,0.27,3,1.0,5,49.0,0,0,71,4,0.66,1
258,51,Male,IT,Mid,5.3,26,80476,0.83,1,2.0,5,45.0,0,0,79,14,0.16,1
